interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,wind_forecast
2026-02-18 23:00:00-05:00,2026-02-19 04:00:00+00:00,2026-02-19 00:00:00-05:00,2026-02-19 05:00:00+00:00,2026-02-18 18:00:00-05:00,2026-02-18 23:00:00+00:00,2309.763
2026-02-19 00:00:00-05:00,2026-02-19 05:00:00+00:00,2026-02-19 01:00:00-05:00,2026-02-19 06:00:00+00:00,2026-02-18 19:00:00-05:00,2026-02-19 00:00:00+00:00,2160.007
2026-02-19 01:00:00-05:00,2026-02-19 06:00:00+00:00,2026-02-19 02:00:00-05:00,2026-02-19 07:00:00+00:00,2026-02-18 20:00:00-05:00,2026-02-19 01:00:00+00:00,1898.979
2026-02-19 02:00:00-05:00,2026-02-19 07:00:00+00:00,2026-02-19 03:00:00-05:00,2026-02-19 08:00:00+00:00,2026-02-18 21:00:00-05:00,2026-02-19 02:00:00+00:00,1557.673
2026-02-19 03:00:00-05:00,2026-02-19 08:00:00+00:00,2026-02-19 04:00:00-05:00,2026-02-19 09:00:00+00:00,2026-02-18 22:00:00-05:00,2026-02-19 03:00:00+00:00,1379.225
2026-02-19 04:00:00-05:00,2026-02-19 09:00:00+00:00,2026-02-19 05:00:00-05:00,2026-02-19 10:00:00+00:00,2026-02-18 23:00:00-05:00,2026-02-19 04:00:00+00:00,1548.357
2026-02-19 05:00:00-05:00,2026-02-19 10:00:00+00:00,2026-02-19 06:00:00-05:00,2026-02-19 11:00:00+00:00,2026-02-19 00:00:00-05:00,2026-02-19 05:00:00+00:00,1680.813
2026-02-19 06:00:00-05:00,2026-02-19 11:00:00+00:00,2026-02-19 07:00:00-05:00,2026-02-19 12:00:00+00:00,2026-02-19 01:00:00-05:00,2026-02-19 06:00:00+00:00,1978.012
2026-02-19 07:00:00-05:00,2026-02-19 12:00:00+00:00,2026-02-19 08:00:00-05:00,2026-02-19 13:00:00+00:00,2026-02-19 02:00:00-05:00,2026-02-19 07:00:00+00:00,2301.485
2026-02-19 08:00:00-05:00,2026-02-19 13:00:00+00:00,2026-02-19 09:00:00-05:00,2026-02-19 14:00:00+00:00,2026-02-19 03:00:00-05:00,2026-02-19 08:00:00+00:00,2315.733
2026-02-19 09:00:00-05:00,2026-02-19 14:00:00+00:00,2026-02-19 10:00:00-05:00,2026-02-19 15:00:00+00:00,2026-02-19 04:00:00-05:00,2026-02-19 09:00:00+00:00,2012.723
2026-02-19 10:00:00-05:00,2026-02-19 15:00:00+00:00,2026-02-19 11:00:00-05:00,2026-02-19 16:00:00+00:00,2026-02-19 05:00:00-05:00,2026-02-19 10:00:00+00:00,1902.82
2026-02-19 11:00:00-05:00,2026-02-19 16:00:00+00:00,2026-02-19 12:00:00-05:00,2026-02-19 17:00:00+00:00,2026-02-19 06:00:00-05:00,2026-02-19 11:00:00+00:00,2208.095
2026-02-19 12:00:00-05:00,2026-02-19 17:00:00+00:00,2026-02-19 13:00:00-05:00,2026-02-19 18:00:00+00:00,2026-02-19 07:00:00-05:00,2026-02-19 12:00:00+00:00,2372.024
2026-02-19 13:00:00-05:00,2026-02-19 18:00:00+00:00,2026-02-19 14:00:00-05:00,2026-02-19 19:00:00+00:00,2026-02-19 08:00:00-05:00,2026-02-19 13:00:00+00:00,2524.651
2026-02-19 14:00:00-05:00,2026-02-19 19:00:00+00:00,2026-02-19 15:00:00-05:00,2026-02-19 20:00:00+00:00,2026-02-19 09:00:00-05:00,2026-02-19 14:00:00+00:00,2620.058
2026-02-19 15:00:00-05:00,2026-02-19 20:00:00+00:00,2026-02-19 16:00:00-05:00,2026-02-19 21:00:00+00:00,2026-02-19 10:00:00-05:00,2026-02-19 15:00:00+00:00,2919.677
2026-02-19 16:00:00-05:00,2026-02-19 21:00:00+00:00,2026-02-19 17:00:00-05:00,2026-02-19 22:00:00+00:00,2026-02-19 11:00:00-05:00,2026-02-19 16:00:00+00:00,3224.31
2026-02-19 17:00:00-05:00,2026-02-19 22:00:00+00:00,2026-02-19 18:00:00-05:00,2026-02-19 23:00:00+00:00,2026-02-19 12:00:00-05:00,2026-02-19 17:00:00+00:00,4064.359
2026-02-19 18:00:00-05:00,2026-02-19 23:00:00+00:00,2026-02-19 19:00:00-05:00,2026-02-20 00:00:00+00:00,2026-02-19 13:00:00-05:00,2026-02-19 18:00:00+00:00,5450.11
2026-02-19 19:00:00-05:00,2026-02-20 00:00:00+00:00,2026-02-19 20:00:00-05:00,2026-02-20 01:00:00+00:00,2026-02-19 14:00:00-05:00,2026-02-19 19:00:00+00:00,5932.363
2026-02-19 20:00:00-05:00,2026-02-20 01:00:00+00:00,2026-02-19 21:00:00-05:00,2026-02-20 02:00:00+00:00,2026-02-19 15:00:00-05:00,2026-02-19 20:00:00+00:00,5843.846
